sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,3758156,9210,62,79.51,0.19,0,20.299999999999997,0.51,0
WT_YPD_none_none_2_1440_none_3,8536078,7059,187,86.96,0.07,0,12.970000000000013,0.34,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_1,5574896,3974,225,92.61,0.07,0,7.320000000000007,0.35,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_1,6798905,23444,1016,88.14,0.3,0,11.560000000000002,0.25,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,3180540,2441,168,89,0.07,0,10.930000000000007,0.35,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,18051307,44984,335,79.82,0.2,0,19.980000000000004,0.42,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,7940703,5993,246,87.48,0.07,0,12.450000000000003,0.18,0
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,4065373,9207,102,80.35,0.18,0,19.47,0.38,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,8913743,7425,426,88.75,0.07,0,11.180000000000007,0.18,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6,5432810,5209,120,84.31,0.08,0,15.61,0.33,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,6188591,5316,265,90.73,0.08,0,9.189999999999998,0.19,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_4,7594653,60105,381,88.7,0.7,0,10.599999999999994,0.43,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_3,10078815,7638,204,90.19,0.07,0,9.740000000000009,0.25,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,6890844,5053,270,89.62,0.07,0,10.310000000000002,0.35,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,2808952,1832,78,92.69,0.06,0,7.25,0.19,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_6,8073173,11663,934,85.93,0.12,0,13.949999999999989,0.29,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_2,11459999,9729,169,89.17,0.08,0,10.75,0.25,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,6815985,4544,299,92.4,0.06,0,7.539999999999992,0.34,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_1,6502791,44317,755,88.23,0.6,0,11.170000000000002,0.34,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,6911220,8312,440,89.02,0.11,0,10.870000000000005,0.21,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,3881598,3221,173,89.65,0.07,0,10.280000000000001,0.27,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,6514084,7551,406,92.41,0.11,0,7.480000000000004,0.51,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_2,9316023,19001,239,77.05,0.16,0,22.790000000000006,0.99,0
WT_YPD_none_Glucose_2_1440_none_17,4438282,5262,147,79.98,0.09,0,19.929999999999993,0.39,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_3,6574767,33380,327,86.6,0.44,0,12.960000000000008,0.31,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8,3256410,3489,178,83.21,0.09,0,16.700000000000003,0.27,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_4,8131373,22891,764,82.94,0.23,0,16.83,0.27,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,11369237,32942,333,76.81,0.22,0,22.97,0.54,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,3869446,3640,104,91.23,0.09,0,8.679999999999993,0.26,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,2973347,2301,94,89.97,0.07,0,9.960000000000008,0.17,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,21357475,19549,546,88.26,0.08,0,11.659999999999997,0.88,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_3,9243463,23117,1056,89.31,0.22,0,10.469999999999999,0.46,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_30_none_2,5800418,4678,276,92.06,0.07,0,7.8700000000000045,0.41,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,4343457,10534,222,78.67,0.19,0,21.14,0.35,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,2284297,1743,99,90.73,0.07,0,9.200000000000003,0.33,0
WT_YPD_none_Glucose_2_1440_none_12,16511945,13092,349,89.7,0.07,0,10.230000000000004,0.49,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_2,8942095,37789,882,89.66,0.38,0,9.960000000000008,0.5,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,8816941,20476,161,80.69,0.19,0,19.120000000000005,0.45,0
WT_YPD_none_Glucose_2_1440_none_25,5900284,92187,361,84.12,1.31,0,14.569999999999993,0.28,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,3155528,2067,91,90.27,0.06,0,9.670000000000002,0.25,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,7893468,4487,226,91.29,0.05,0,8.659999999999997,0.36,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_2,7846019,26139,1060,80.98,0.27,0,18.75,0.28,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,4689918,3919,189,93.37,0.08,0,6.549999999999997,0.42,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,6976857,5747,190,90.92,0.07,0,9.010000000000005,0.19,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,6262858,4884,288,92.46,0.07,0,7.470000000000013,0.5,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,3854676,3558,138,89.03,0.08,0,10.89,0.17,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,13634673,33665,433,78.04,0.19,0,21.769999999999996,0.43,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,8355628,4961,255,89.89,0.05,0,10.060000000000002,0.26,0
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,6667315,21461,556,76.5,0.25,0,23.25,0.28,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,4268912,2949,96,91.22,0.06,0,8.719999999999999,0.21,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,2495538,3495,84,90.59,0.13,0,9.280000000000001,0.08,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_3,4410378,463249,781,80.26,8.43,0,11.310000000000002,0.42,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,4018745,3007,108,91.35,0.07,0,8.580000000000013,0.22,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_5,6557407,5471,187,87.42,0.07,0,12.510000000000005,0.49,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,5572980,3730,159,92.39,0.06,0,7.549999999999997,0.23,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,2084841,2227,130,91.43,0.1,0,8.469999999999999,0.41,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_1,5291728,4006,185,92.06,0.07,0,7.8700000000000045,0.38,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,5348722,6075,278,83.53,0.09,0,16.379999999999995,0.34,0
WT_YPD_none_Glucose_2_1440_none_1,9452718,10666,243,85.98,0.1,0,13.920000000000002,1.04,0
YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,5954064,18211,233,76.18,0.23,0,23.58999999999999,0.19,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,1027119,882,28,86.4,0.07,0,13.530000000000001,0.5,0
WT_YPD_none_Glucose_2_1440_none_31,5726564,4429,124,92.33,0.07,0,7.6000000000000085,0.56,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,8450296,6598,419,92.42,0.07,0,7.510000000000005,0.48,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_4,6675879,6422,260,89.93,0.09,0,9.97999999999999,0.27,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_7,4732438,4492,231,83.72,0.08,0,16.200000000000003,0.49,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,2996761,2458,124,88.5,0.07,0,11.430000000000007,0.23,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_2,7815405,49438,2075,83.43,0.53,0,16.039999999999992,0.26,0
WT_YPD_none_none_2_1440_none_5,5292761,3892,116,90.34,0.07,0,9.590000000000003,0.3,0
WT_YPD_none_Glucose_2_1440_none_33,2575364,7665,56,91.97,0.27,0,7.760000000000005,0.34,0
WT_YPD_none_Glucose_2_1440_none_5,3236463,3025,119,82.14,0.08,0,17.78,0.47,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,5388650,3719,325,88.28,0.06,0,11.659999999999997,0.43,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_3,5173744,5063,173,90.28,0.09,0,9.629999999999995,0.28,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,5551956,3816,286,90.24,0.06,0,9.700000000000003,0.35,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_4,8800800,23725,1106,81.99,0.22,0,17.790000000000006,0.4,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,5375004,11068,131,78.57,0.16,0,21.27000000000001,0.55,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,2920288,1665,74,93.62,0.05,0,6.329999999999998,0.38,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,3685472,2723,111,89.65,0.07,0,10.280000000000001,0.21,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_2,11018812,7684,251,89.3,0.06,0,10.64,0.31,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,6161818,6064,462,88.44,0.09,0,11.469999999999999,0.48,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_4,7100965,4660,151,90.7,0.06,0,9.239999999999995,0.3,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,2454089,2320,124,89.71,0.08,0,10.210000000000008,0.24,0
WT_YPD_none_Glucose_2_1440_none_29,11080695,33170,1162,78.21,0.23,0,21.560000000000002,0.18,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_3,5931851,171834,686,86.33,2.5,0,11.170000000000002,0.41,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_2,8544567,7953,146,86.57,0.08,0,13.350000000000009,0.26,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_3,4519573,10230,156,89.54,0.2,0,10.259999999999991,0.35,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,3417800,3037,166,85.87,0.08,0,14.049999999999997,0.13,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_3,3226954,2329,150,90.31,0.07,0,9.620000000000005,0.17,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_2,9692148,5776,207,89.95,0.05,0,10,0.56,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_5,15080766,26169,1941,86.41,0.15,0,13.439999999999998,0.36,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_3,5825695,5769,395,91.3,0.09,0,8.61,0.4,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_2,5814231,4790,262,90.66,0.07,0,9.27000000000001,0.29,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_1,4687985,143587,1093,80.37,2.46,0,17.17,0.4,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,4581031,11668,107,78.79,0.2,0,21.00999999999999,0.39,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,9604513,6285,256,91.71,0.06,0,8.230000000000004,0.21,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2,10412033,7416,523,92.2,0.07,0,7.730000000000004,0.29,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,762499,483,13,93.56,0.06,0,6.3799999999999955,0.12,1
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_1,15640213,11541,328,90.94,0.07,0,8.990000000000009,0.25,0
WT_YPD_none_Glucose_2_1440_none_10,2921653,2014,69,90.79,0.06,0,9.149999999999991,0.29,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,2800376,2590,138,91.82,0.08,0,8.100000000000009,0.16,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,11223188,7571,262,90.51,0.06,0,9.429999999999993,0.36,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,2555961,1810,76,90.34,0.06,0,9.599999999999994,0.18,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_6,2406388,1966,126,90.32,0.07,0,9.610000000000014,0.16,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,2457283,1446,67,94.06,0.06,0,5.8799999999999955,0.42,0
WT_YPD_none_Glucose_2_1440_none_24,6135578,102051,393,83.77,1.39,0,14.840000000000003,0.3,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_4,6531019,48061,914,82.77,0.61,0,16.620000000000005,0.26,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,5261710,4296,253,91.76,0.07,0,8.170000000000002,0.4,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,10854137,32460,391,78.33,0.23,0,21.439999999999998,0.43,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_2,3989672,416505,1481,79.07,8.25,0,12.680000000000007,0.44,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_1,14495902,13964,279,87.05,0.08,0,12.870000000000005,0.32,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,9981811,8599,703,87.55,0.08,0,12.370000000000005,0.32,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_4,9262424,17606,736,87.16,0.17,0,12.670000000000002,0.3,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,1892390,7540,40,78.31,0.31,0,21.379999999999995,0.31,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,6429284,4914,215,90.94,0.07,0,8.990000000000009,0.34,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,124524757,80297,5108,89.36,0.06,0,10.579999999999998,0.29,0
WT_YPD_none_none_2_1440_none_6,8301840,6259,183,90.76,0.07,0,9.170000000000002,0.21,0
WT_YPD_none_Glucose_2_1440_none_28,8746702,20590,800,80.33,0.19,0,19.480000000000004,0.18,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,6012728,5878,239,91.56,0.09,0,8.349999999999994,0.34,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_4,5702203,7099,177,87.85,0.11,0,12.040000000000006,0.46,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_1,9779738,7625,518,88.33,0.07,0,11.600000000000009,0.27,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,7488827,8769,619,89.49,0.1,0,10.41000000000001,0.34,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,8443338,29051,168,77.15,0.27,0,22.58,0.33,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,7908351,8440,418,86.5,0.09,0,13.409999999999997,0.26,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,7565088,7139,391,92.32,0.09,0,7.590000000000003,0.54,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,7870893,4752,415,93.08,0.06,0,6.859999999999999,0.38,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,6522957,5883,335,88.9,0.08,0,11.019999999999996,0.23,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,7350497,6763,209,88.61,0.08,0,11.310000000000002,0.19,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_2,5749177,5177,141,90.01,0.08,0,9.909999999999997,0.6,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_1,6068313,4648,276,91.41,0.07,0,8.52000000000001,0.22,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,2920576,2794,84,91.55,0.09,0,8.36,0.11,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_6,10987854,11024,409,84.03,0.08,0,15.89,0.28,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,4752041,6370,252,85.01,0.11,0,14.879999999999995,0.35,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_30_none_1,7178787,5805,339,92.61,0.07,0,7.320000000000007,0.39,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_4,9302053,7694,588,90.8,0.08,0,9.120000000000005,0.33,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,2710657,2524,185,91.57,0.09,0,8.340000000000003,0.23,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_3,8794400,21559,2332,83.96,0.21,0,15.830000000000013,0.3,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_3,7288226,50855,429,88.97,0.62,0,10.409999999999997,0.38,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,8976778,6350,299,93.06,0.07,0,6.8700000000000045,0.35,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_4,6523399,4798,399,91.49,0.07,0,8.440000000000012,0.25,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,5096257,4244,197,92.1,0.08,0,7.820000000000007,0.35,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_4,7425765,5871,312,91.79,0.07,0,8.14,0.49,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_3,7588396,34456,519,87.11,0.4,0,12.489999999999995,0.3,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_4,3496679,484362,636,73.77,10.22,0,16.010000000000005,0.34,2
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,5614860,11557,574,79.55,0.16,0,20.290000000000006,0.19,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_4,5919637,4654,235,89.66,0.07,0,10.27000000000001,0.17,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,4563162,3559,119,90.71,0.07,0,9.220000000000013,0.29,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,5438277,4965,160,88.55,0.08,0,11.370000000000005,0.08,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_3,8361228,12538,869,90.2,0.14,0,9.659999999999997,0.49,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_1,4147264,2679,59,91.38,0.06,0,8.560000000000002,0.36,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,6939525,8336,262,88.25,0.11,0,11.64,0.57,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,1617186,1380,68,89.08,0.08,0,10.840000000000003,0.27,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_2,14446571,13986,237,87.05,0.08,0,12.870000000000005,0.27,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_3,3199150,3067,113,68.65,0.07,0,31.28,0.22,2
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_6,6041547,3884,109,84.35,0.05,0,15.600000000000009,0.38,0
YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,6313287,12377,325,80.95,0.16,0,18.89,0.22,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,9126930,7720,354,88.42,0.07,0,11.510000000000005,0.22,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,3741711,2418,121,90.03,0.06,0,9.909999999999997,0.2,0
WT_YPD_none_Glucose_2_1440_none_30,6413140,4717,166,91.61,0.07,0,8.320000000000007,0.42,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_4,5262645,8367,203,89.22,0.14,0,10.64,0.54,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,6540517,5908,190,89.79,0.08,0,10.129999999999995,0.2,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_1,15812150,17490,284,86.67,0.1,0,13.230000000000004,0.36,0
WT_YPD_none_none_2_1440_none_9,6131290,4859,119,91.5,0.07,0,8.430000000000007,0.33,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_3,3333610,2520,173,90.55,0.07,0,9.38000000000001,0.25,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_2,6197805,4761,186,92.21,0.07,0,7.720000000000013,0.28,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,6180438,5969,222,91.93,0.09,0,7.97999999999999,0.25,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,7166305,6714,463,91.6,0.09,0,8.310000000000002,0.5,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_2,9127435,27315,664,88.05,0.26,0,11.689999999999998,0.39,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_6,13958926,9952,196,89.84,0.06,0,10.099999999999994,0.33,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_4,1721137,18241,153,85.94,0.91,0,13.150000000000006,0.64,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,8494311,6375,410,91.27,0.07,0,8.66000000000001,0.25,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_8,5028964,4248,173,87.14,0.07,0,12.790000000000006,0.52,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,7119406,6223,252,92.81,0.08,0,7.109999999999999,0.43,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,2431895,1545,27,92.71,0.06,0,7.230000000000004,0.1,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,5140025,3888,250,92.49,0.07,0,7.440000000000012,0.36,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_4,6399734,4953,358,92.33,0.07,0,7.6000000000000085,0.47,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,12490735,8343,346,92.78,0.06,0,7.159999999999997,0.28,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_1,7253931,7056,348,88.38,0.09,0,11.530000000000001,0.44,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_1,5630500,6080,116,86.85,0.09,0,13.060000000000002,0.28,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,3548805,2624,115,90.27,0.07,0,9.66000000000001,0.15,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,7652180,5483,255,92.88,0.07,0,7.050000000000011,0.36,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_1,5705063,5406,138,90.02,0.09,0,9.89,0.39,0
WT_YPD_none_Glucose_2_1440_none_32,5539540,4216,118,91.9,0.07,0,8.030000000000001,0.63,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_2,9794248,21179,684,89.86,0.19,0,9.950000000000003,0.39,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_2,10158586,34943,915,85.63,0.29,0,14.079999999999998,0.27,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_1,8952321,8603,150,87.47,0.08,0,12.450000000000003,0.33,0
YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,7010991,21053,389,79.09,0.24,0,20.67,0.24,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_3,7738972,6559,331,92.25,0.08,0,7.670000000000002,0.31,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,2516564,2381,125,86.46,0.08,0,13.460000000000008,0.32,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_1,7168697,6364,469,92.34,0.08,0,7.579999999999998,0.53,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_3,5008130,8296,164,89.21,0.15,0,10.64,0.42,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_4,12605914,9040,545,90.64,0.07,0,9.290000000000006,0.17,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_4,8824666,23163,1047,83.41,0.22,0,16.370000000000005,0.31,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1,6841551,5767,214,91.3,0.08,0,8.620000000000005,0.21,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,1404180,828,40,93.47,0.06,0,6.469999999999999,0.43,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_-1_cAMP_1,5810343,46706,1190,85.5,0.69,0,13.810000000000002,0.36,0
YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,3064393,2289,86,92.04,0.07,0,7.890000000000001,0.28,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_3,5539220,326191,774,84.57,4.98,0,10.450000000000003,0.37,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_1,7902271,7145,116,87.61,0.08,0,12.310000000000002,0.32,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,10116639,7846,382,88.4,0.07,0,11.530000000000001,0.35,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_2,3055591,2614,80,90.41,0.08,0,9.510000000000005,0.5,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,2440484,1889,84,87.33,0.07,0,12.600000000000009,0.09,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_5,3312547,2741,86,86.03,0.07,0,13.900000000000006,0.54,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,6065331,5389,362,88.62,0.08,0,11.299999999999997,0.2,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,8025566,5338,257,93.56,0.06,0,6.3799999999999955,0.41,0
