metadata.sample_id,general.dupradar_intercept,general.percent_rrna,general.library,general.unpaired_reads_examined,general.read_pairs_examined,general.secondary_or_supplementary_rds,general.unmapped_reads,general.unpaired_read_duplicates,general.read_pair_duplicates,general.read_pair_optical_duplicates,general.percent_duplication,general.estimated_library_size,general.5_3_bias,general.reads_aligned,general.raw_total_sequences,general.filtered_sequences,general.sequences,general.is_sorted,general.1st_fragments,general.last_fragments,general.reads_mapped,general.reads_mapped_and_paired,general.reads_unmapped,general.reads_properly_paired,general.reads_paired,general.reads_duplicated,general.reads_mq0,general.reads_qc_failed,general.non_primary_alignments,general.supplementary_alignments,general.total_length,general.total_first_fragment_length,general.total_last_fragment_length,general.bases_mapped,general.bases_mapped_cigar,general.bases_trimmed,general.bases_duplicated,general.mismatches,general.error_rate,general.average_length,general.average_first_fragment_length,general.average_last_fragment_length,general.maximum_length,general.maximum_first_fragment_length,general.maximum_last_fragment_length,general.average_quality,general.insert_size_average,general.insert_size_standard_deviation,general.inward_oriented_pairs,general.outward_oriented_pairs,general.pairs_with_other_orientation,general.pairs_on_different_chromosomes,general.percentage_of_properly_paired_reads_%,general.reads_mapped_percent,general.reads_mapped_and_paired_percent,general.reads_unmapped_percent,general.reads_properly_paired_percent,general.reads_paired_percent,general.reads_duplicated_percent,general.reads_mq0_percent,general.reads_qc_failed_percent,general.total_passed,general.total_failed,general.secondary_passed,general.secondary_failed,general.supplementary_passed,general.supplementary_failed,general.duplicates_passed,general.duplicates_failed,general.mapped_passed,general.mapped_failed,general.mapped_passed_pct,general.mapped_failed_pct,general.paired_in_sequencing_passed,general.paired_in_sequencing_failed,general.read1_passed,general.read1_failed,general.read2_passed,general.read2_failed,general.properly_paired_passed,general.properly_paired_failed,general.properly_paired_passed_pct,general.properly_paired_failed_pct,general.with_itself_and_mate_mapped_passed,general.with_itself_and_mate_mapped_failed,general.singletons_passed,general.singletons_failed,general.singletons_passed_pct,general.singletons_failed_pct,general.with_mate_mapped_to_a_different_chr_passed,general.with_mate_mapped_to_a_different_chr_failed,general.with_mate_mapped_to_a_different_chr_mapq__5_passed,general.with_mate_mapped_to_a_different_chr_mapq__5_failed,general.flagstat_total,general.total_reads,general.avg_input_read_length,general.uniquely_mapped,general.uniquely_mapped_percent,general.avg_mapped_read_length,general.num_splices,general.num_annotated_splices,general.num_gtag_splices,general.num_gcag_splices,general.num_atac_splices,general.num_noncanonical_splices,general.mismatch_rate,general.deletion_rate,general.deletion_length,general.insertion_rate,general.insertion_length,general.multimapped,general.multimapped_percent,general.multimapped_toomany,general.multimapped_toomany_percent,general.unmapped_mismatches_percent,general.unmapped_tooshort_percent,general.unmapped_other_percent,general.unmapped_mismatches,general.unmapped_tooshort,general.unmapped_other,general.percent_gc,general.avg_sequence_length,general.total_sequences,general.percent_duplicates,general.percent_fails,general.cutadapt_version,general.r_processed,general.r_with_adapters,general.r_written,general.bp_processed,general.quality_trimmed,general.bp_written,general.percent_trimmed,trimmed
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,0.00456576235585639,0,Unknown Library,11458,0,2508,0,1063,0,0,0.092774,,0.63,11458,11458,0,11458,1,11458,0,11458,0,0,0,0,1063,85,0,2508,0,566795,566795,0,566795,565799,0,52539,908,0.00160481,49,49,0,50,50,0,38.3,0,0,0,0,0,0,0,100,0,0,0,0,9.277360795950427,0.741839762611276,0,13966,0,2508,0,0,0,1063,0,13966,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,13966,11952,49,10017,83.81,49.39,52,51,52,0,0,0,0.11,0,1.38,0,1,1441,12.06,101,0.85,0,3.25,0.03,0,389,4,45,50,12081,9.063819220263227,9.090909090909092,3.4,12081,4179,12081,604050,831,591089,2.1456833043622217,FALSE
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,0.00456576235585639,0,Unknown Library,11458,0,2508,0,1063,0,0,0.092774,,0.63,11458,11458,0,11458,1,11458,0,11458,0,0,0,0,1063,85,0,2508,0,566795,566795,0,566795,565799,0,52539,908,0.00160481,49,49,0,50,50,0,38.3,0,0,0,0,0,0,0,100,0,0,0,0,9.277360795950427,0.741839762611276,0,13966,0,2508,0,0,0,1063,0,13966,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,13966,11952,49,10017,83.81,49.39,52,51,52,0,0,0,0.11,0,1.38,0,1,1441,12.06,101,0.85,0,3.25,0.03,0,389,4,45,49.45515394912985,11952,8.1408969210174,18.181818181818183,3.4,12081,4179,12081,604050,831,591089,2.1456833043622217,TRUE
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0.0703977141360276,0.0078237998055296,Unknown Library,10247016,0,2523693,0,8423957,0,0,0.822089,,0.23,10247016,10247016,0,10247016,1,10247016,0,10247016,0,0,0,0,8423957,144372,0,2523693,0,762416452,762416452,0,762416452,761138663,0,626685476,1146461,0.001506245,74,74,0,75,75,0,34.8,0,0,0,0,0,0,0,100,0,0,0,0,82.20887915076935,1.4089174838801852,0,12770709,0,2523693,0,0,0,8423957,0,12770709,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,12770709,10513690,74,9327451,88.72,74.29,58338,55282,56283,358,69,1628,0.13,0.01,1.39,0,1.09,919565,8.75,130938,1.25,0,1.16,0.13,0,122057,13679,40,75,10532966,74.5533167724607,18.181818181818183,3.4,10532966,3591911,10532966,789972450,1261031,782193035,0.9847704182595227,FALSE
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0.0703977141360276,0.0078237998055296,Unknown Library,10247016,0,2523693,0,8423957,0,0,0.822089,,0.23,10247016,10247016,0,10247016,1,10247016,0,10247016,0,0,0,0,8423957,144372,0,2523693,0,762416452,762416452,0,762416452,761138663,0,626685476,1146461,0.001506245,74,74,0,75,75,0,34.8,0,0,0,0,0,0,0,100,0,0,0,0,82.20887915076935,1.4089174838801852,0,12770709,0,2523693,0,0,0,8423957,0,12770709,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,12770709,10513690,74,9327451,88.72,74.29,58338,55282,56283,358,69,1628,0.13,0.01,1.39,0,1.09,919565,8.75,130938,1.25,0,1.16,0.13,0,122057,13679,40,73.70761968443048,10513690,73.14586080770766,18.181818181818183,3.4,10532966,3591911,10532966,789972450,1261031,782193035,0.9847704182595227,TRUE
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_3,0.0189863173925805,0.004679374287439924,Unknown Library,7090161,0,1487443,0,5459449,0,0,0.770004,,0.26,7090161,7090161,0,7090161,1,7090161,0,7090161,0,0,0,0,5459449,91139,0,1487443,0,527894336,527894336,0,527894336,527023778,0,406415262,694445,0.0013176730000000001,74,74,0,75,75,0,35,0,0,0,0,0,0,0,100,0,0,0,0,77.00035302442356,1.2854292025244562,0,8577604,0,1487443,0,0,0,5459449,0,8577604,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,8577604,7215239,74,6603679,91.52,74.35,37455,35177,35755,294,24,1382,0.12,0.01,1.38,0,1.07,486482,6.74,72559,1.01,0,0.61,0.11,0,44495,8024,40,75,7220109,69.43519966931551,18.181818181818183,3.4,7220109,2395169,7220109,541508175,794005,537085771,0.8166827767650968,FALSE
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_3,0.0189863173925805,0.004679374287439924,Unknown Library,7090161,0,1487443,0,5459449,0,0,0.770004,,0.26,7090161,7090161,0,7090161,1,7090161,0,7090161,0,0,0,0,5459449,91139,0,1487443,0,527894336,527894336,0,527894336,527023778,0,406415262,694445,0.0013176730000000001,74,74,0,75,75,0,35,0,0,0,0,0,0,0,100,0,0,0,0,77.00035302442356,1.2854292025244562,0,8577604,0,1487443,0,0,0,5459449,0,8577604,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,8577604,7215239,74,6603679,91.52,74.35,37455,35177,35755,294,24,1382,0.12,0.01,1.38,0,1.07,486482,6.74,72559,1.01,0,0.61,0.11,0,44495,8024,40,73.73169177070919,7215239,68.1530138773322,18.181818181818183,3.4,7220109,2395169,7220109,541508175,794005,537085771,0.8166827767650968,TRUE
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0.0150943328453135,0.022014987266677725,Unknown Library,4046848,0,1228631,0,2865834,0,0,0.708164,,0.17,4046848,4046848,0,4046848,1,4046848,0,4046848,0,0,0,0,2865834,78255,0,1228631,0,300792243,300792243,0,300792243,300079285,0,212914265,1921433,0.006403084,74,74,0,75,75,0,33.5,0,0,0,0,0,0,0,100,0,0,0,0,70.81644776379049,1.9337271871837043,0,5275479,0,1228631,0,0,0,2865834,0,5275479,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,5275479,4172937,74,3666289,87.86,74.18,22613,19318,20442,147,63,1961,0.62,0.01,1.38,0,1.07,380559,9.12,69904,1.68,0,1.14,0.21,0,47445,8740,40,75,4174996,51.86890272306664,18.181818181818183,3.4,4174996,1384959,4174996,313124700,1218886,309902843,1.0289373530737116,FALSE
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0.0150943328453135,0.022014987266677725,Unknown Library,4046848,0,1228631,0,2865834,0,0,0.708164,,0.17,4046848,4046848,0,4046848,1,4046848,0,4046848,0,0,0,0,2865834,78255,0,1228631,0,300792243,300792243,0,300792243,300079285,0,212914265,1921433,0.006403084,74,74,0,75,75,0,33.5,0,0,0,0,0,0,0,100,0,0,0,0,70.81644776379049,1.9337271871837043,0,5275479,0,1228631,0,0,0,2865834,0,5275479,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,5275479,4172937,74,3666289,87.86,74.18,22613,19318,20442,147,63,1961,0.62,0.01,1.38,0,1.07,380559,9.12,69904,1.68,0,1.14,0.21,0,47445,8740,40,73.59015628560891,4172937,49.87174175802197,9.090909090909092,3.4,4174996,1384959,4174996,313124700,1218886,309902843,1.0289373530737116,TRUE
WT_YPD_none_Glucose_2_1440_none_19,0.0180756721388441,0.021546286515843945,Unknown Library,6306499,0,1321900,0,4403483,0,0,0.698245,,0.49,6306499,6306499,0,6306499,1,6306499,0,6306499,0,0,0,0,4403483,72593,0,1321900,0,469587163,469587163,0,469587163,468759754,0,327823057,512315,0.001092916,74,74,0,75,75,0,35.2,0,0,0,0,0,0,0,100,0,0,0,0,69.82452546174986,1.1510823992836596,0,7628399,0,1321900,0,0,0,4403483,0,7628399,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,7628399,6416516,74,5803612,90.45,74.34,22400,19763,20181,257,65,1897,0.09,0.01,1.34,0,1.07,502887,7.84,63398,0.99,0,0.67,0.06,0,42787,3832,40,75,6417986,63.83739175834411,18.181818181818183,3.4,6417986,2179587,6417986,481348950,589410,477693143,0.7594920483362434,FALSE
WT_YPD_none_Glucose_2_1440_none_19,0.0180756721388441,0.021546286515843945,Unknown Library,6306499,0,1321900,0,4403483,0,0,0.698245,,0.49,6306499,6306499,0,6306499,1,6306499,0,6306499,0,0,0,0,4403483,72593,0,1321900,0,469587163,469587163,0,469587163,468759754,0,327823057,512315,0.001092916,74,74,0,75,75,0,35.2,0,0,0,0,0,0,0,100,0,0,0,0,69.82452546174986,1.1510823992836596,0,7628399,0,1321900,0,0,0,4403483,0,7628399,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,7628399,6416516,74,5803612,90.45,74.34,22400,19763,20181,257,65,1897,0.09,0.01,1.34,0,1.07,502887,7.84,63398,0.99,0,0.67,0.06,0,42787,3832,41,73.74273328391918,6416516,62.80545503458653,18.181818181818183,3.4,6417986,2179587,6417986,481348950,589410,477693143,0.7594920483362434,TRUE
