sample,status
WT_YPD_none_Glucose_2_1440_none_20,0
WT_YPD_none_Glucose_2_1440_none_21,0
WT_YPD_none_Glucose_2_1440_none_22,0
WT_YPD_none_Glucose_2_1440_none_23,0
WT_YPD_none_Glucose_2_1440_none_24,0
WT_YPD_none_Glucose_2_1440_none_25,0
WT_YPD_none_Glucose_2_1440_none_26,0
WT_YPD_none_Glucose_2_1440_none_27,0
WT_YPD_none_Glucose_2_1440_none_28,0
WT_YPD_none_Glucose_2_1440_none_29,0
WT_YPD_none_Glucose_2_1440_none_3,0
WT_YPD_none_Glucose_2_1440_none_30,0
WT_YPD_none_Glucose_2_1440_none_31,0
WT_YPD_none_Glucose_2_1440_none_32,0
WT_YPD_none_Glucose_2_1440_none_33,0
WT_YPD_none_Glucose_2_1440_none_34,0
WT_YPD_none_Glucose_2_1440_none_35,0
WT_YPD_none_Glucose_2_1440_none_4,0
WT_YPD_none_Glucose_2_1440_none_5,0
WT_YPD_none_Glucose_2_1440_none_6,0
WT_YPD_none_Glucose_2_1440_none_7,0
WT_YPD_none_Glucose_2_1440_none_8,0
WT_YPD_none_Glucose_2_1440_none_9,0
WT_YPD_none_none_2_1440_none_1,0
WT_YPD_none_none_2_1440_none_2,0
WT_YPD_none_none_2_1440_none_3,0
WT_YPD_none_none_2_1440_none_4,0
WT_YPD_none_none_2_1440_none_5,0
WT_YPD_none_none_2_1440_none_6,0
WT_YPD_none_none_2_1440_none_7,0
WT_YPD_none_none_2_1440_none_8,0
WT_YPD_none_none_2_1440_none_9,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,8
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
